Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
24002,2702,618,54,35,9999,0,1645,0,3615,5946,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4460,1610,0,31,50,47,50,71,25,16,31,22,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,127,82,84,147,3,3,93,6,1,8,12,24,3,2,86,0,0,0,0,101,0,0,0
25002,2702,618,54,35,9999,0,1639,0,3615,5924,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4487,1588,0,36,75,72,70,90,36,30,22,21,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,124,82,82,143,2,3,94,5,1,11,12,25,4,2,86,0,0,0,0,101,0,0,0
26003,2702,618,54,35,9999,0,1584,0,3615,5726,5,4,1478,525,1804,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4483,1647,0,36,50,50,60,57,19,36,19,23,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,134,80,81,147,2,3,93,5,1,9,12,25,3,2,86,0,0,0,0,101,0,0,0
27003,2702,618,54,35,9999,0,1574,0,3615,5690,5,4,1478,525,1804,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4549,1708,0,28,35,38,47,52,27,26,28,23,46,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,145,82,85,162,3,3,93,6,1,9,12,23,3,2,86,0,0,0,0,101,0,0,0
28003,2702,618,54,35,9999,0,1589,0,3615,5744,5,4,1478,525,1804,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4641,1654,0,30,42,44,42,36,11,19,30,19,46,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,134,82,82,152,2,3,94,5,1,10,12,25,4,2,86,0,0,0,0,101,0,0,0
29002,2702,618,54,35,9999,0,1650,0,3615,5964,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4579,1538,0,30,60,60,57,61,30,26,30,31,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,126,82,83,146,2,3,93,6,1,9,11,24,3,2,86,0,0,0,0,101,0,0,0
30003,2702,618,54,35,9999,0,1544,0,3615,5581,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4555,1591,0,27,44,47,52,42,21,27,21,23,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,135,81,84,150,3,3,93,6,1,9,12,24,3,2,86,0,0,0,0,101,0,0,0
31003,2702,618,54,35,9999,0,1564,0,3615,5653,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4440,1598,0,33,50,55,50,52,19,27,33,23,46,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,138,82,81,155,3,3,93,5,1,10,12,24,4,2,86,0,0,0,0,101,0,0,0
32004,2702,618,54,35,9999,0,1655,0,3615,5982,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4556,1626,0,25,45,36,45,42,25,19,19,23,46,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,142,82,81,158,2,3,94,5,1,9,12,24,3,2,86,0,0,0,0,101,0,0,0
33003,2702,618,53,35,9999,0,1623,0,3616,5868,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4405,1627,0,25,38,38,42,42,25,10,23,27,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,137,82,81,154,2,3,94,5,1,8,12,25,3,2,86,0,0,0,0,101,0,0,0
